,commentText,commentClassification
435,"@{5f1ea4d770fb250022a6f5c1} okay, then do `onSelection(applied)`",add CODE_SUGGESTION end
436,"At this level, can we do a useExplicitApply function? Similar to what is there in joins?",add CODE_SUGGESTION end
437,Why is this?,add QUESTIONING end
438,I hope you have checked this functionality thoroughly,add COMPLETENESS_SUGGESTION end
439,I hope you have checked all the validations regarding this.,add COMPLETENESS_SUGGESTION end
440,Can you handle this in the ColumnPropertiesDialog component itself? You are already passing the type there,add CODE_SUGGESTION end
441,Why don’t you just take currentProjections?,add LOGICAL_SUGGESTION end
442,Why are you using selectedProjections here?,add QUESTIONING end
443,"Even if selectedProjections is empty, this will always be considered, even though projections are non empty. Please handle this",add BUGGYCODE_SUGGESTION end
444,"So when we are editing the widget, where is the source of projection coming from?",add QUESTIONING end
445,@{557058:b9557086-1e7e-44c9-9383-1c4bb5904f76} Please provide implementation documentation link for this.,add LOGISTICS_SUGGESTION end
446,@{557058:b9557086-1e7e-44c9-9383-1c4bb5904f76} Please provide implementation documentation link for this.,add LOGISTICS_SUGGESTION end
447,Spellig mistake → `companies[statusOnTop].length`,add SPELLING_SUGGESTION end
448,Spellig mistake → `companies[statusOnTop].length`,add SPELLING_SUGGESTION end
449,Please explain what is the purpose of this paper,add QUESTIONING end
450,If not needed → Please remove commented code → in all components,add REFACTORING_SUGGESTION end
451,Keep this into the function → Not using anywhere,add CODE_SUGGESTION end
452,Remove `overlay` & `overlayText` classes → as these are not used anywhere.,add CODE_SUGGESTION end
453,Keep these variables at function level,add CODE_SUGGESTION end
454,remove commented code,add REFACTORING_SUGGESTION end
455,Why is this deleted?,add QUESTIONING end
456,Why is this removed?,add QUESTIONING end
457,"@{5a4c7bb014c00229ee9ca4f8} @{5ffc28ed208dbf0107da7ae3} Did you make this change recently? If so, has this been tested?",add QUESTIONING end
458,@{5b163be6b485a923ce5a55fd} - wasnt there some issue with this approach?,add BUGGYCODE_SUGGESTION end
459,"@{5f1ea4d770fb250022a6f5c1} , why can’t we re-use or modify this one?",add QUESTIONING end
460,"@{5f1ea4d770fb250022a6f5c1} You will be applying it based on `selectedFilters` and `supportedFilters`. These are your sources.

You can use these two and show the filter",add CODE_SUGGESTION end
461,"From backend, this will be a list , non-optional",add BUGGYCODE_SUGGESTION end
462,"@{5f1ea4d770fb250022a6f5c1} , please check for all the filters, I think some cases are definitely not working. Plus please check with product team, regarding the wordings",add BUGGYCODE_SUGGESTION end
463,"That is fine, when I apply userHierarchy on some widgets, then that also fails. Even though it’s there in supported filter.

Widget: Trend of MBO",add BUGGYCODE_SUGGESTION end
464,"You can directly return, you’re not using the temporary variables.",add CODE_SUGGESTION end
465,"You can use map, instead of reduce",add CODE_SUGGESTION end
466,Looks good to me. We will have to do the backend changes accordingly for this,add COMPLETENESS_SUGGESTION end
467,'8' should not be the default value,add BUGGYCODE_SUGGESTION end
468,Will fail in production. Table Id is different there,add BUGGYCODE_SUGGESTION end
469,Please mark a TODO here for the chart type,add COMPLETENESS_SUGGESTION end
470,"Okay, later on, we have to enhance this in such a way, that only on table selection or alias writing, the fetch configurations is called. 

Right now it calls even if you select the type of join, or select the join/parent keys'(extra calls'). Please keep this into consideration",add COMPLETENESS_SUGGESTION end
471,"Why are we doing this part? 

Once base Table gets updated, and you go to main playground level, the fetchConfigurations will be called due to changes in baseTable object, so it should automatically update. If not there might be a bug at the lower level.",add CODE_SUGGESTION end
472,This will fail when we change the base table type,add BUGGYCODE_SUGGESTION end
473,"This is good, this handles the closing of the dialog bug",add Encouragement end
474,Spelling,add SPELLING_SUGGESTION end
475,"Why are we doing this?

Also what will this return?",add QUESTIONING end
476,"@{5f1ea4d770fb250022a6f5c1} , I have one suggestion.

Can we integrate Table Selector Dialog to Playground, just as we have integrated it in the subQueryPlayground level? I feel this issue will be solved. Please check by creating multiple level subquery as a baseTable",add LOGICAL_SUGGESTION end
477,shouldnt this be sending back the linked account details for each retailer-warehouse combo?,add BUGGYCODE_SUGGESTION end
478,should this not be find link or something else more appropriate? You are not sending contact as response. Merging in payment branch. but plz change it.,add COMPLETENESS_SUGGESTION end
479,Looksfine to me. Merge it after backend changes being applied.,add COMPLETENESS_SUGGESTION end
480,Have you tested for update and remove permission container?,add QUESTIONING end
481,Please guard against this. Also did not understand why you need to subquery ka projections here?,add QUESTIONING end
482,Why are you setting the projections here? Please explain.,add QUESTIONING end
483,You can use `.some()`,add CODE_SUGGESTION end
484,@{5f1ea4d770fb250022a6f5c1} If I have edited the baseTable to a simple table. How will this work?,add BUGGYCODE_SUGGESTION end
485,"@{5f1ea4d770fb250022a6f5c1} I don’t think cross checking is required, once you change the subquery table, then when you go back to playground level, a new call is made. Your source of truth will be updated.

Now if your source of truth does not contain the old projection, then it will not show? Shouldn’t this be the scenario? Please check against this. 

This would remove unnecessary adding to the projections.",add COMPLETENESS_SUGGESTION end
486,"@{5f1ea4d770fb250022a6f5c1} On changing the subquery table, your source of truth will be updated. Now if your updated source of truth does not contain this old projection, will it show up?",add QUESTIONING end
487,"There is one more bug in this. When you change the alias, the projections do disappear, but the json is not updated. Please check against that ",add BUGGYCODE_SUGGESTION end
488,"We should be getting the level in condition card popover, use that",add CODE_SUGGESTION end
489,"I just checked, this should be hour, minute and second",add BUGGYCODE_SUGGESTION end
490,"Why do you need this? 

As far as I remember, if you don’t supply the values here, then it will add all by default. This is just extra work",add QUESTIONING end
491,Should we remove this file? @{5b17896f4d941a51f0da497c} ,add COMPLETENESS_SUGGESTION end
492,"Keep a variable , and compare only the variable.

Don’t construct on each iteration",add BUGGYCODE_SUGGESTION end
493,What was the problem caused earlier?,add QUESTIONING end
494,"``id=`image-upload-option-${id}` ``  
  

``id=`return-image-${returnItem.id}` ``

‌",add CODE_SUGGESTION end
495,`<Trans>Add product</Trans>`,add CODE_SUGGESTION end
496,``params=`?fileName=${params}` ``,add CODE_SUGGESTION end
497,"`export const delete = (url: string, params: string = '') => {`",add CODE_SUGGESTION end
498,`ADD_PRODUCT`,add CODE_SUGGESTION end
499,"`ReturnProductImage`

Note: Change component and filename",add CODE_SUGGESTION end
500,Please **add loader** until queryReturnCart completes,add CODE_SUGGESTION end
501,what we need to do here?,add QUESTIONING end
502,"there is no REST called remove, Please rename it as `delete`.",add SPELLING_SUGGESTION end
503,"Have you tried this?

When you have 2 or more nested projections, your alias at the top level will keep changing the moment, you select a new field. Do you want that behaviour?",add LOGICAL_SUGGESTION end
504,"Merge this after demo, we will remove this hard coded stuff after demo, this should not go in dev branch, it was meant for release/demoforastral branch only. But, since we found a bugfix in retailer module test case, we have to fix it in  release branch.",add COMPLETENESS_SUGGESTION end
505,@{5ffc28ed208dbf0107da7ae3}  Is this changes are related with current story / ticket?,add QUESTIONING end
506,"Need to correct the variable name here.

‌",add SPELLING_SUGGESTION end
507,Function name should **camelCase** !,add SPELLING_SUGGESTION end
508,Function name should be in **camelCase**,add SPELLING_SUGGESTION end
509,inline css are recommended. Please use styles.,add REFACTORING_SUGGESTION end
510,inline css are recommended. Please use styles.,add REFACTORING_SUGGESTION end
511,inline css are recommended. Please use styles.,add REFACTORING_SUGGESTION end
512,"@{5ffc28ed208dbf0107da7ae3} we can rename it as

`const [showAssignedStatus, setShowAssignedStatus] = useState(false);`",add CODE_SUGGESTION end
513,please clean up?,add REFACTORING_SUGGESTION end
514,clean up!,add REFACTORING_SUGGESTION end
515,"`const [userGridSelect, setuserGridSelect] = useState([]);`  
:point_down:   
`const [userGridSelect, setUserGridSelect] = useState([]);`",add CODE_SUGGESTION end
516,why changing this?,add QUESTIONING end
517,@{5ffc28ed208dbf0107da7ae3} Why changes this? Production will not work!,add BUGGYCODE_SUGGESTION end
518,Why do we need this?,add QUESTIONING end
519,Only 1 value right?,add QUESTIONING end
520,"Only 1 value, am I correct?",add QUESTIONING end
521,why are ids hardcoded here? How will work in prod?,add BUGGYCODE_SUGGESTION end
522,Check the wording with Product team once.,add SPELLING_SUGGESTION end
523,"I would suggest that we keep a wrapper component, and develop certain api’s/function, so that this change will be abstracted out.

Please let me know if you did not understand.",add LOGICAL_SUGGESTION end
524,All these function and extra functions can be written in the new class,add REFACTORING_SUGGESTION end
525,"Keep an array list, with Table as default.

Based on the conditions, add it to the list",add CODE_SUGGESTION end
526,You should set it to NONE actually. null is mainly for backward compatibility,add BUGGYCODE_SUGGESTION end
527,"`.some()`

‌",add CODE_SUGGESTION end
528,Looks good to me ,add Encouragement end
529,"@{557058:b9557086-1e7e-44c9-9383-1c4bb5904f76} , I’m approving this PR. this looks good to me. I want you to check it once",add COMPLETENESS_SUGGESTION end
530,"In the order Status, can the NOTPAID be changed to NOT PAID?",add SPELLING_SUGGESTION end
531,Shouldn’t your useEffect take into the consideration for isSQLError?,add BUGGYCODE_SUGGESTION end
532,@{5f1ea4d770fb250022a6f5c1} Why will it not work?,add QUESTIONING end
533,I have rebased and updated the branch with a ping-pong query,add LOGISTICS_SUGGESTION end
534,"@{557058:4e711a49-b8fe-4901-8633-13a0c17ad34c} Please check these,  
  
`warehouseBalanceDetails(globalOutletId: ID!, companyId: ID!, warehouseIds: [ID]) : [WarehouseBalanceDetails]!`  
  
`warehouseBankDetails(companyId: ID!, warehouseIds: [ID!]!, globalOutletId: ID!): [WarehouseBankDetails]!`",add CODE_SUGGESTION end
535,We probably don’t need an accordion here.,add LOGICAL_SUGGESTION end
536,"Not required. Check with design once, but I feel that you don’t need an accordion here.",add LOGICAL_SUGGESTION end
537,Check with design once whether we need the accordion,add LOGICAL_SUGGESTION end
538,You can probably get a formik version of this,add REUSE_SUGGESTION end
539,Remove this,add REFACTORING_SUGGESTION end
540,"If none of these are available, you can set it to the default values, until you get the result from the server",add CODE_SUGGESTION end
541,"`const [selectAll, setSelectAll] = useState({});`",add CODE_SUGGESTION end
542,`const userGrids = ...`,add CODE_SUGGESTION end
543,clean up please,add REFACTORING_SUGGESTION end
544,`checked = { Object.keys(checkBox).length && checkBox.hasOwnProperty(id + '_' + element.userId) }`,add CODE_SUGGESTION end
545,"Can’t we do like this,

``key={`some-name-${id}`}``",add CODE_SUGGESTION end
546,"For example,

``<MuiTableRow key={`some-name-${element.userId}-${element.gridId}`}>``",add CODE_SUGGESTION end
547,`userGrids.map(userGrids => {...`,add CODE_SUGGESTION end
548,"```
const handleToggleSelectAll = event => {
    if (event.target.checked) {
      const users = Object.keys(grids).reduce((arr, id) => {
        if (!grids[id].selected) return arr;

        return [
          ...arr,
          ...grids[id].userGridStatusData.map(({ userId, status }) => ({
            gridId: id,
            userId: userId.toString(),
            status,
          })),
        ];
      }, []);
      
      setUserGridSelect([...userGridSelect, ...users]);
      setSelectAll(users.reduce((acc, { userId, gridId }) => ({ ...acc, [`${gridId}-${userId}`]: 1 }), {}));
    } else {
      setUserGridSelect([]);
      setSelectAll({});
    }
  };
```

‌",add CODE_SUGGESTION end
549,"`const [offset, setOffset] = useState(0);`",add CODE_SUGGESTION end
550,"`const [paginate, setPaginate] = useState(false);`",add CODE_SUGGESTION end
551,clean up!,add REFACTORING_SUGGESTION end
552,clean up?,add REFACTORING_SUGGESTION end
553,"`const [paginate, setPaginate] = useState(false);`",add CODE_SUGGESTION end
554,clean up?,add REFACTORING_SUGGESTION end
555,why is this a field?,add QUESTIONING end
556,"do these need to be removed? Also, why not private?

‌",add QUESTIONING end
557,this is not correct - not thread safe. Please fix this.,add BUGGYCODE_SUGGESTION end
558,same issue about access modifier & thread safety.,add BUGGYCODE_SUGGESTION end
559,plz indent properly. Dont understand why this method is needed.,add REFACTORING_SUGGESTION end
560,Why should the key be String type? ,add QUESTIONING end
561,"@{5d4aae425b8ea70c7e4f400a} if this the class field, for 2 request coming in parallel for companies in diff retailer dbs, how will this work?",add BUGGYCODE_SUGGESTION end
562,why do we need this set?,add QUESTIONING end
563,why is this needed?,add QUESTIONING end
564,not needed.,add LOGICAL_SUGGESTION end
565,I had told you to add a bypass in the App Context Filter. You dont need a if check here.,add BUGGYCODE_SUGGESTION end
566,We had decided on a HashSet of urls to bypass the setting of AppContext. This needs to be changed.,add BUGGYCODE_SUGGESTION end
567,We dont need synchronized. Make the map as concurrentHashMap,add BUGGYCODE_SUGGESTION end
568,"All these should be made local variables if they cannot be initialized as static final. These will not be thread safe and concurrent requests to same widget will over-write each other values. Please make changes in both the widgets. 

Add them to the context map and then pass them around wherever needed or create a model class for this - I would prefer model class.",add BUGGYCODE_SUGGESTION end
569,can u not set the `multiBrandRetailerSchema` in the `widgetDataFetcherContext` instead of setting individual params?,add CODE_SUGGESTION end
570,"Since every where we are using the ocm as Table<Record> the model should be encapsulating the same. The RetailerUtils should be setting this appropriately. If you use it in current form, what are you gaining by this model object apart from single call to retailer utils?",add QUESTIONING end
571,please make other maps as ConcurrentHashMap. This was a miss from my end.,add CODE_SUGGESTION end
572,"Looks good to me. But I’m not going to merge this PR right now. I’ll check with the QA team, regarding the issue on dev env.",add LOGISTICS_SUGGESTION end
573,Please remove if not required,add REFACTORING_SUGGESTION end
574,What is the logic behind this?,add QUESTIONING end
575,This can be removed,add REFACTORING_SUGGESTION end
576,is this done?,add QUESTIONING end
577,comment required?,add QUESTIONING end
578,Can remove this,add REFACTORING_SUGGESTION end
579,Can remove the below comments,add REFACTORING_SUGGESTION end
580,Can remove?,add QUESTIONING end
581,We can remove this,add REFACTORING_SUGGESTION end
582,"Please remove, if not required",add REFACTORING_SUGGESTION end
583,We can remove this?,add QUESTIONING end
584,"This should have name of retailer from whom the payment is being received as well as the amount. If there are invoice ids, that might be need too… check with Parthiv on the exact text.",add LOGICAL_SUGGESTION end
585,why only indian numbers? we can send a dial code and that should work fine.,add LOGICAL_SUGGESTION end
586,why is it indented differently? Any change from the shared setting file?,add QUESTIONING end
587,"This changes are not required, please revert.",add BUGGYCODE_SUGGESTION end
588,"This changes are not required, please revert.",add BUGGYCODE_SUGGESTION end
589,"This changes are not required, please revert.",add BUGGYCODE_SUGGESTION end
590,"This changes are not required, please revert.",add BUGGYCODE_SUGGESTION end
591,"This changes are not required, please revert.",add BUGGYCODE_SUGGESTION end
592,Any purpose we have moved this function inside component?,add QUESTIONING end
593,Why we have commented this?,add QUESTIONING end
594,Why change `const` to `let` here?,add CODE_SUGGESTION end
595,Why this file changed?,add QUESTIONING end
596,Any reason to move `getGrids` function inside `ActionDialog` component?,add QUESTIONING end
597,Put the ticket here.,add LOGISTICS_SUGGESTION end
598,"If we are not using this props, then we can remove.",add REFACTORING_SUGGESTION end
599,"If adding `description` is not required as per current requirement, then please remove this state and cleanup all usage.",add REFACTORING_SUGGESTION end
600,"I think based on our discussion, we probably need to get it to a dialog instead of opening a snackbar.

@{5fb66741f2df6c007652913f} , please check and update accordingly.",add LOGICAL_SUGGESTION end
601,Please rename this,add SPELLING_SUGGESTION end
602,"Instead of hardcoding this value and doing string match, we should create const of options, i.e.

```
const DOWNLOAD_OPTIONS = [
  {
    LABEL: 'Summarized data'
    VALUE: 1
  },
  {
    LABEL: 'Underlying raw data'
    VALUE: 2
  }
]
```

''& Keep the value in state

`const [value, setValue] = useState(DOWNLOAD_OPTIONS[0].VALUE);`",add CODE_SUGGESTION end
603,"Need to rename it,

``const QUERY_WIDGET_DOWNLOADS = gql`..``",add CODE_SUGGESTION end
604,I think this dependency look up is not required now,add LOGICAL_SUGGESTION end
605,"Need to rename,  
  
`const [downloadOption, setDownloadOption] = useState(...);`",add CODE_SUGGESTION end
606,"I think now every time we are download file. So, check if this argument is really required.",add CODE_SUGGESTION end
607,"`const [downloadValue, setDownloadValue] = useState(DOWNLOAD_OPTIONS[0].value);`",add CODE_SUGGESTION end
608,key='{`` `download-option-${v.value}``'`'},add CODE_SUGGESTION end
609,`const handleExport = () => {...}`,add CODE_SUGGESTION end
610,"`then(({ data }) => {`  
if '(`data && data.downloadWidgetData && data.downloadWidgetData.downloadFileName` ') '{…'}",add CODE_SUGGESTION end
611,`const downLoadFile = filename => {...}`,add CODE_SUGGESTION end
612,Why have we removed the analytics app? is it not in use anymore?,add QUESTIONING end
613,I think we need to enhance this errorLink. We have seen enough errors in pwa-app and can build it better here,add COMPLETENESS_SUGGESTION end
614,Spelling `Okay` or `OK`,add SPELLING_SUGGESTION end
615,Let’s define this in a constants file,add BUGGYCODE_SUGGESTION end
616,Should we have the service worker handler here? or is it not required?,add QUESTIONING end
617,Should this be coming up in the PR request?,add QUESTIONING end
618,What is the current issue with this?,add QUESTIONING end
619,"So far reviewed pwa-app, bizom-mui and mds-native and bitbucket-pipelines. Looks all good there

Will review retailer-app , retailernative app by tomorrow",add Encouragement end
620,"@{557058:b9557086-1e7e-44c9-9383-1c4bb5904f76} , I have reviewed all the code except for android and ios part of react-native. I do not currently understand those.

Otherwise looks good to me, code wise and the explanations given. Approving it on my side.

Please post the necessary links to make the upgrades, so that other developers do not have a problem.",add DOCUMENTATION_SUGGESTION end
621,"@{557058:4e711a49-b8fe-4901-8633-13a0c17ad34c} Please, remove semicolon ;",add REFACTORING_SUGGESTION end
622,@{557058:4e711a49-b8fe-4901-8633-13a0c17ad34c} If you can’t keep comments in package.json file. Please add some comment on this PR about what we read and with issues links.,add DOCUMENTATION_SUGGESTION end
623,"I think we have some variables for **black**, can we make use of that.",add REUSE_SUGGESTION end
624,"I hope this old comment, Does these still exists?",add QUESTIONING end
625,"`""react-grid-layout"": ""1.2.4""`

Keep the exact dependency so that it doesn’t upgrade unknowingly anytime in other  '(new') developers system.",add CODE_SUGGESTION end
626,"Which file we need this?

`bizom-next/package.json` OR `packages/pwa-app/package.json` ?

‌",add QUESTIONING end
627,If we are using then for cleaning the config. We don’t do any cleanup on error of remove widget. So. **we can remove the catch block here.**,add CODE_SUGGESTION end
628,Remove this line. Someone might uncomment it in future unknowingly. Keep this comment on removed line here.,add REFACTORING_SUGGESTION end
629,"If we have only helper function here, then rename it as camelCase '(i.e. **layoutUtils.js**')  
  
**PascalCase** filename is for components '(JSX').",add SPELLING_SUGGESTION end
630,Please check that the column size is sufficient to handle this entry.,add BUGGYCODE_SUGGESTION end
631,What would be the price if none of them are present?,add QUESTIONING end
632,None of these calculations are required any more? What changed?,add QUESTIONING end
633,"@{557058:b9557086-1e7e-44c9-9383-1c4bb5904f76} So I saw the graphql request, a number will be present, which is given from backend.

However, in case it’s not there.. then I guess we can use **NA.** instead of 0. Also, worst case this can be disabled. so that no one can buy unless it has some value.

For free product, I believe a flag comes from backend, so this should not cause confusion",add LOGICAL_SUGGESTION end
634,"@{557058:b9557086-1e7e-44c9-9383-1c4bb5904f76} Okay, I remember they were used for the cart and product list page to show the offers if any.

If the flow changed, then all good",add COMPLETENESS_SUGGESTION end
635,Let’s log it at least? @{557058:b9557086-1e7e-44c9-9383-1c4bb5904f76}  any suggestions other than console?,add QUESTIONING end
636,"@{5fb66741f2df6c007652913f} Beyond console, I’m not sure of any.",add SPELLING_SUGGESTION end
637,Please check the spelling of this.,add SPELLING_SUGGESTION end
638,"@{5fb66741f2df6c007652913f} This is spelling mistake please, put `dismissable` here. I have checked in snackbarContext but, this prop is not used anywhere in snackbar. @{5fb66741f2df6c007652913f} Please check from your end in snackbarcontext for this `dismissable` prop.",add SPELLING_SUGGESTION end
639,"@{5fb66741f2df6c007652913f} Please check if this dialog is going to use in near future. If not, you can remove this component.",add REFACTORING_SUGGESTION end
640,"**Need to clean up this.**

@{5fb66741f2df6c007652913f} & @{557058:4e711a49-b8fe-4901-8633-13a0c17ad34c} We don’t need to handle try-catch like this, even we have not handled anything.  
  
If we want to handled anything in while download, there is already promise call back in WidgetDataContainer.jsx '([in this line]( Code ref.

```
return client
  .mutate({
    mutation: TRIGGER_DOWNLOAD,
    variables: {
      ...
    },
  })
  .then(res => {
    // handle resolve
  })
  .catch(() => {
    // handle reject
  });
```

‌",add CODE_SUGGESTION end
641,"@{5fb66741f2df6c007652913f} & @{5f1ea4d770fb250022a6f5c1}  Please clean up useless code and keep in the same commit / PR. We can always revert and bring back if we need in future.

That way we will keep our code base clean.",add REFACTORING_SUGGESTION end
642,"@{5d3806acaf1d920bc9976214} As discussed, please figure out why this was working for Line chart and column chart even when the key was not being sent from backend.  
Once you confirm with @{5a4c7bb014c00229ee9ca4f8} or @{557058:b9557086-1e7e-44c9-9383-1c4bb5904f76} , we can merge this. This will help identify if there is any UI bug too.

‌",add COMPLETENESS_SUGGESTION end
643,"@{557058:aaf7087e-8a1d-4e36-b39c-d97d58086db2} All other components like line/column chart are defined by highcharts library and they handle drilldown in their own way, Table is something we are handling on our own and in this we are honouring “'_hidden“ key  for drilldown which is available for all other widgets except this one, I hope this clarifies your doubt.",add LOGICAL_SUGGESTION end
644,why new txn? Do we even need a txn here? I dont see any db interaction here.,add BUGGYCODE_SUGGESTION end
645,why a separate txn? Isn’t being called from the same class method which already has a txn boundary?,add BUGGYCODE_SUGGESTION end
646,"@{557058:aaf7087e-8a1d-4e36-b39c-d97d58086db2} , please rebase this with master branch.

Also did you test out the edit widget through url?",add COMPLETENESS_SUGGESTION end
647,what is the default value of the source?,add QUESTIONING end
648,"@{5ffc28ed208dbf0107da7ae3} Please check below points,

1. Please add tickets here.
2. This PR has conflicts, please resolve them.

‌",add LOGISTICS_SUGGESTION end
649,Remove the space,add REFACTORING_SUGGESTION end
650,Please don’t use inline styling,add REFACTORING_SUGGESTION end
651,Please fix the spelling,add SPELLING_SUGGESTION end
652,camelCasing,add SPELLING_SUGGESTION end
653,`export const LEDGERS = '/ledgers';`,add CODE_SUGGESTION end
654,Even for mobile view/desktop view?,add QUESTIONING end
655,`onClick={handleClick}`,add CODE_SUGGESTION end
656,Remove inline styling,add BUGGYCODE_SUGGESTION end
657,`//@flow`,add CODE_SUGGESTION end
658,"Also, it should like this,

`COMPANY_ID: 'companyId',`

`COMPANY_OUTLET_ID: 'companyOutletId',`",add CODE_SUGGESTION end
659,Why hardcoding required based on view port width?,add QUESTIONING end
660,No inline or props css. Please use `classes.xyz`,add BUGGYCODE_SUGGESTION end
661,"Here also, we shouldn’t add css props like this, Please use `classes.xyz`",add CODE_SUGGESTION end
662,"Keep this outside of this component as constant,

`const currencySign = '₹';`

Also, keep some comment why we are hardcoding it, in case of unmapped companies.",add BUGGYCODE_SUGGESTION end
663,"Naming should understandable, This name looks like a function name rather a response data.  
  
`data: companyInvoices`",add SPELLING_SUGGESTION end
664,Don’t need? Please cleanup,add REFACTORING_SUGGESTION end
665,please cleanup,add REFACTORING_SUGGESTION end
666,Use constant variable please.,add BUGGYCODE_SUGGESTION end
667,Use constant variable please,add BUGGYCODE_SUGGESTION end
668,Use constant variable please,add BUGGYCODE_SUGGESTION end
669,"If we don’t need this, please cleanup",add REFACTORING_SUGGESTION end
670,Please use constant variable,add BUGGYCODE_SUGGESTION end
671,Please use the variable,add BUGGYCODE_SUGGESTION end
672,camelCase,add SPELLING_SUGGESTION end
673,Please clean up,add REFACTORING_SUGGESTION end
674,"Are these specific browser changes? If so, why?",add QUESTIONING end
675,Spelling and camelCasing,add SPELLING_SUGGESTION end
676,"Please use a variable for this. Otherwise to the other developers, it won;t be clear why the number",add BUGGYCODE_SUGGESTION end
677,Please remove if not required,add REFACTORING_SUGGESTION end
678,@{5ffc28ed208dbf0107da7ae3} I think we don’t need a drawer menu in this use-case.,add LOGICAL_SUGGESTION end
679,"@{5ffc28ed208dbf0107da7ae3} String variable name should me same as the actual string. Check other variables how it’s done.  
  
Also, string should be this, `Select companies to see details`",add SPELLING_SUGGESTION end
680,@{5ffc28ed208dbf0107da7ae3} Don’t see any use of these changes!,add BUGGYCODE_SUGGESTION end
681,@{5ffc28ed208dbf0107da7ae3} Please rename this file as `Ledgers.jsx`,add SPELLING_SUGGESTION end
682,"Hardcoded colors and css are not allowed. Please use theme.  
  
_NOTE: Same as below lines._",add BUGGYCODE_SUGGESTION end
683,@{5ffc28ed208dbf0107da7ae3}  What is the use of this state variable I don’t understand???,add QUESTIONING end
684,Does this code ever executes!,add BUGGYCODE_SUGGESTION end
685,@{5ffc28ed208dbf0107da7ae3}  Why need another state do this? What’s the issue you are getting here?,add QUESTIONING end
686,"Why `width` and `height` props are required, can’t set in `classes.img` styles",add CODE_SUGGESTION end
687,"@{5ffc28ed208dbf0107da7ae3}   
Hardcoded strings are not acceptable, multilingual will not work.  
  
**Please go through other codes.**",add BUGGYCODE_SUGGESTION end
688,Hardcoded strings are not acceptable.,add BUGGYCODE_SUGGESTION end
689,Hardcoded strings are not acceptable.,add BUGGYCODE_SUGGESTION end
690,@{5ffc28ed208dbf0107da7ae3} Useless codes,add BUGGYCODE_SUGGESTION end
691,"@{557058:4e711a49-b8fe-4901-8633-13a0c17ad34c} It’s correct. passing argument here.  
  
@{5ffc28ed208dbf0107da7ae3} Please take care of variable naming mentioned above.",add SPELLING_SUGGESTION end
692,"@{5ffc28ed208dbf0107da7ae3} Please take care between **singular and plural** naming.  
  
`const companyOutlets = unmappedCompanyOutlets || [];`  
  
As you can see below you are looping through the array, so normally it variable name should be `companyOutlets`.",add SPELLING_SUGGESTION end
693,"@{5ffc28ed208dbf0107da7ae3} Please take care of variable naming.

  
`{companyOutlets.map((companyOutlet, index) => (`",add SPELLING_SUGGESTION end
694,@{5ffc28ed208dbf0107da7ae3} Is there any use of this empty tag `<>` ?,add QUESTIONING end
695,"@{5ffc28ed208dbf0107da7ae3}   
  
First point, index shouldn’t be key any key, use unique key in an object with understandable strings, like below,  
  
``key={`unmapped-companies-list-${c.companyId}`}``  
  
Second, When we are doing loop only first tags needs `key` prop, I see here first tag is empty, second tag `div` and third tag `Card` has `key`.",add CODE_SUGGESTION end
696,"What about this,

```
paddingLeft: props => props.status === INVOICE_STATUS.PENDING? spacing(6) : spacing(2) 
```

‌",add CODE_SUGGESTION end
697,@{5ffc28ed208dbf0107da7ae3} '[IMPORTANT'] You should put this image in all the apps folders,add CODE_SUGGESTION end
698,"@{5ffc28ed208dbf0107da7ae3} I don’t think so. Let me know if you find, I will explain you why we are using such states",add QUESTIONING end
699,"@{5ffc28ed208dbf0107da7ae3} I don’t understand why we are complicating things here?  
  
Event => update state => component re-render => redirect to other page  
  
Why can’t we make it simpler,  
  
Event => redirect to other page  
  
`history.push({…})`

‌",add CODE_SUGGESTION end
700,"Hardcoded colors and css are not allowed. Please use theme. 

Can’t be 10, it should multiple of 8 here.

_NOTE: Same as below lines._",add BUGGYCODE_SUGGESTION end
701,"@{5ffc28ed208dbf0107da7ae3} Obviously, I have repeatedly saying this to you.",add BUGGYCODE_SUGGESTION end
702,"@{5ffc28ed208dbf0107da7ae3} Again I am commenting this,  
  
Why `width` and `height` props are required, can’t set in `classes.img` styles",add CODE_SUGGESTION end
703,"Why we are not using props directly. eg, `spacing`, `palette` & all. Same as companies.jsx",add CODE_SUGGESTION end
704,Please use default prop,add BUGGYCODE_SUGGESTION end
705,Why to define new variable `companyOutlets`. Please use '(`unmappedCompanyOutlet || []`') directly.,add CODE_SUGGESTION end
706,Please use `spacing` for padding & margin,add CODE_SUGGESTION end
707,"order-details

I don’t think capitals will matter at the url level",add LOGICAL_SUGGESTION end
708,camelCase,add SPELLING_SUGGESTION end
709,camelCase,add SPELLING_SUGGESTION end
710,"CurrencySign

Also can we keep this in a constant file?",add BUGGYCODE_SUGGESTION end
711,"@{5ffc28ed208dbf0107da7ae3} Like, `typography.fontSize` '+ `typography.fontSize/2`",add CODE_SUGGESTION end
712,@{5ffc28ed208dbf0107da7ae3} Please make the variable name proper. Check the other variable name. ,add SPELLING_SUGGESTION end
713,@{5ffc28ed208dbf0107da7ae3} Please use camel casing for variable names … `unMappedCompanyOrders`,add SPELLING_SUGGESTION end
714,This is not addressed. @{5ffc28ed208dbf0107da7ae3} ,add BUGGYCODE_SUGGESTION end
715,still not addressed,add BUGGYCODE_SUGGESTION end
