,commentText,commentClassification,length
799, b dfc e b aaff please check and update the pr .,logistics suggestion,48
800,why is it hidden by default ? and why is editable enabled ?,questioning,59
802, import join keys join actions from . . constants ,code suggestion,50
803,please remove console statement if it s not required,refactoring suggestion,52
806,why ? ? ?,questioning,9
807,please get it verified as it affects main api flow . post verification merge it .,completeness suggestion,81
808, d dbd ea c c f b understood . my concern was whether they send bulk feedback ?,questioning,79
809,please use single tab instead of tabs .,refactoring suggestion,39
810,spelling,spelling suggestion,8
811,please correct indentation please use tabs t byte,refactoring suggestion,49
812,do we really need to use set extract twice here ? can we do it once or use a foreach loop ?,buggycode suggestion,91
813,what is the use case of using array walk recursive ?,buggycode suggestion,52
814,please use constant variable,buggycode suggestion,28
815,please use spacing instead of extras .spacing .bystep same for below chip class css .,code suggestion,85
816,this will fail if there s no data,buggycode suggestion,33
817,interface should start will capital letter,spelling suggestion,42
818,remove unused import .,refactoring suggestion,22
819,can we check for or null also or not required ? ?,code suggestion,49
820,please get it verified and update pr .,completeness suggestion,38
822,please get it verified and update pr .,completeness suggestion,38
823,why assertion error ?,questioning,21
824,please remove unnecessary space they take bytes each .,refactoring suggestion,54
825,this condition should be there in above conditions key,buggycode suggestion,54
826,spelling mistake !,spelling suggestion,18
827,currencysign also can we keep this in a constant file ?,buggycode suggestion,55
828,please correct indentation .,refactoring suggestion,28
830,indentation issue please correct it,refactoring suggestion,35
831,let s not hardcode the value here,buggycode suggestion,33
832,what is the use case of employee api ?,questioning,38
834,please update the status after verification done ,completeness suggestion,49
835,why different formatters ?,questioning,26
836,reformat the code .,refactoring suggestion,19
837,why is this removed ?,questioning,21
839, blankslate takes children which we can have the action button ref . noconnection .jsx component,code suggestion,96
840,add null check for mwarehouselist to avoid crash .,buggycode suggestion,50
842,remove unnecessary lines,refactoring suggestion,24
843, ea f b a aecd please remove all commented code which is no more useful .,refactoring suggestion,73
845,resolve conflict .,logistics suggestion,18
846,please remove from condition .,code suggestion,30
848,remove this string literal as it s not required any more .,refactoring suggestion,58
849,which bracket is being closed here ?,questioning,36
850,remove this,refactoring suggestion,11
851,space after and space after and before ,refactoring suggestion,39
852,correct indentation .,refactoring suggestion,21
853,use for statement in else for better readability,refactoring suggestion,48
854,there are few issue enhancement we need to take care .,buggycode suggestion,54
855,format the code .,refactoring suggestion,17
856,can we use !empty instead of two conditions here ?,buggycode suggestion,50
857,remove if not required,refactoring suggestion,22
860,is there any ui changes involved with this ?,questioning,44
861, appname string ! appidentifier string ! these are not mandatory remove the ! ,code suggestion,78
862,create seperate detailed bug for this change,logistics suggestion,44
863,better use stringutils .isempty here . .,buggycode suggestion,40
864, addicon size small add ,code suggestion,24
865,can we create a bug to handle this case it s good to have data as suggested by shubham .,logistics suggestion,88
866,remove commented lines .,refactoring suggestion,24
867,why is it indented differently ? any change from the shared setting file ?,questioning,74
868,this is not a component ! it s a utils helper i believe .,buggycode suggestion,57
869,hi raman tds is now present in master branch as well . please change the pr .,logistics suggestion,77
871,please remove unnecessary space,refactoring suggestion,31
872,is validatecompanyretailermappping validating company status ? if not then we should add it .,questioning,93
874,replace native query with jparepository api .for example findbyretailerid should work .,code suggestion,87
878,why is this removed ? how will the user re edit the base table ?,questioning,64
879,even this condition is not required i think,logical suggestion,43
881,space after ,refactoring suggestion,12
882,should check for not be here ?,questioning,30
883,it would be best if for an array you just check length simpler to read and understand,code suggestion,85
885,please get it verified and update pr .,completeness suggestion,38
887,check with design once whether we need the accordion,logical suggestion,52
888,let s log it at least ? b e e c c bb f any suggestions other than console ?,questioning,75
889,remove contain .,refactoring suggestion,16
890,use string resource instead of hard code string .,buggycode suggestion,49
891, b dfc e b aaff use trim and strtolower,code suggestion,39
892,why are we having a tempcomparisonmodel ?,questioning,41
893,why are we converting distributor id to string ?,questioning,48
894,can we fix the indentation here if this line is actually required ?,refactoring suggestion,67
895,why throwing an error ?,questioning,23
897,it it not possible to add item in cart without cashback ?,questioning,57
899, cdaaddc c d b e pls find the timelimit for caching .,completeness suggestion,53
900,please add the default value in description as well .,documentation suggestion,53
902,remove console .,refactoring suggestion,16
903,please add default values .,buggycode suggestion,27
904,constant string orders should be at the left side of equals to avoid potential npe .,buggycode suggestion,84
905,ticket for this ?,logistics suggestion,17
906,don t see any use of statustypes remove it if not required keep type declaration after import ,refactoring suggestion,94
908,can we use !empty here before doing the set combine ?,code suggestion,53
909,this condition will never be used since it will go inside the block only if isserialnumbersetting .,buggycode suggestion,99
910,merging as there is no transaction changes only ui and spelling correction is being done .,logistics suggestion,90
913,please check if variable is set . for outlet and area .,code suggestion,55
914, ab a a fcf f but why this is in onpause ? ?,questioning,44
917,i think this jsonobject is different from jsonobject please make it consistent,spelling suggestion,78
918,we already have the data that is being saved to db handy . . why are we querying the db again ?,buggycode suggestion,95
919,why do we need separate timeouts for diff countries ?,buggycode suggestion,53
920,space after and space before and after ,refactoring suggestion,39
921,please fix the spelling,spelling suggestion,23
923,why are two bugs merged in same branch ?,logistics suggestion,40
924,adding and removing column should be in revision not directly in schema .,buggycode suggestion,73
925,skuvisibility is using or condition . please share query to check performance .,completeness suggestion,79
926,get this from basesynchelper and add handle null value,code suggestion,54
928,set pr title properly .,logistics suggestion,23
929,please share query to check the use of index else we will have to split the or condition .,buggycode suggestion,90
930,did you only removed this code .,questioning,32
932,is there any upper limit ? ? ? ? ?,questioning,34
933, ffc ed dbf da ae obviously i have repeatedly saying this to you .,buggycode suggestion,66
935,for which vendor ?,questioning,18
936,remove log command .,refactoring suggestion,20
937,qa verified ,logistics suggestion,12
938,i don t see this being used anywhere . please remove it if it s not used,refactoring suggestion,72
939,it can be done easily with spacing same for all below lines point down ,code suggestion,71
940,please map using filters filters ,code suggestion,33
942,will it be possible to include the reason key here to avoid any sort ui errors when checking ?,code suggestion,94
943,this should be active if van sale is enabled . or if setting isselectvehicleinloadouts is enabled .,logical suggestion,99
945,qurey please,completeness suggestion,12
946,use string literals from strings .xml instead of hard coding .,buggycode suggestion,62
947,removed zero from here .,refactoring suggestion,24
948,we can simplify the code by using array rather than creating multi line deceleration,buggycode suggestion,84
949,indentation,refactoring suggestion,11
950,no inline or props css . please use classes .xyz ,buggycode suggestion,49
953,wrong comment for sub category,documentation suggestion,30
954,please add condition here because admin login doesn t require this condition .,logical suggestion,78
956,put the ticket here .,logistics suggestion,21
957,use constant for this numbers,buggycode suggestion,29
958,correct alignment of closing brackets .,refactoring suggestion,39
959,can we rename the key as well ?,spelling suggestion,31
960,call paymentid as warehouseid so that it s clear we are showing payment warehouse wise .,spelling suggestion,88
961,indentation,refactoring suggestion,11
962, data ?,code suggestion,7
963,why are you raising a pr for this ? have i told you to raise a pr ?,logistics suggestion,67
965,please don t write query in loop ? it should be in outside loop .,buggycode suggestion,65
967,i would suggest to rename this file for clarity,spelling suggestion,47
968,remove the dot,refactoring suggestion,14
969, one collection can be a part of multiple payments ,logical suggestion,51
970,please fix the alignment . ,refactoring suggestion,27
973,remove commented lines .,refactoring suggestion,24
974,doesn t the empty function check for as well ?,buggycode suggestion,46
975,function name should be in camelcase ,spelling suggestion,37
976,looks good to me . we will have to do the backend changes accordingly for this,completeness suggestion,78
977,shouldnt this be part of orderresolver ?,code suggestion,40
979,please keep the response in single format .,code suggestion,43
980,add foreign key,buggycode suggestion,15
981,please merge after verification .,completeness suggestion,33
982,this condition will always true .,buggycode suggestion,33
983,please remove extra unnecessary line,refactoring suggestion,36
984,why changing this ?,questioning,19
985,where is the test case for this ?,completeness suggestion,33
986,will issafeinteger work here ?,code suggestion,30
987,if it fails should it not throw exception ?,buggycode suggestion,43
989,isn t validjoins .length sufficient ?,questioning,37
991,i see certain pieces of code are quite common can we refactor them ?,refactoring suggestion,68
992,get the query if require we will do the changes,completeness suggestion,47
993, b e e c c bb f please provide implementation documentation link for this .,logistics suggestion,75
995,merging as this is verified .,logistics suggestion,29
996,it is done as discussed .,logistics suggestion,25
997,this input name should be changed .,spelling suggestion,35
998,space after comma,refactoring suggestion,17
999,should be removed from here it is implemented in parent class measurablenonaggregatedprojection,buggycode suggestion,95
1000,please change to isset data vcdiscount !is numeric data vcdiscount data vcdiscount ,refactoring suggestion,83
1001,we should move this flag to customquerymodel .,code suggestion,46
1003, const conditions setconditions usestate ,code suggestion,41
1004,alignement .,refactoring suggestion,12
1007,can we re use findbyids in beat .php ?,reuse suggestion,38
1010,change to aggregated operand ,spelling suggestion,29
1011, f ea d fb a f c aaf e a d e b c d d db b e e c c bb f when did this change ?,questioning,77
1012,forienkey is required .,buggycode suggestion,23
1015,shouldn t your useeffect take into the consideration for issqlerror ?,buggycode suggestion,69
1016,this is already sajal also added please check with her .,reuse suggestion,56
1017,fix indentation .,refactoring suggestion,17
1018,i think we can store it in a constant if we haven t already and re use wherever possible ,buggycode suggestion,89
1019,please get it verified before merging,completeness suggestion,37
1020,please change to isset data vcdiscount !is numeric data vcdiscount data vcdiscount ,refactoring suggestion,83
1022,correct indentation . us tabs for indentation .,refactoring suggestion,47
1023,can we use isset here ? array search checks the whole array .,buggycode suggestion,61
1024,resolve the conflicts .,logistics suggestion,23
1026,please create a function in model and add the query dere .,refactoring suggestion,58
1027,space after ! ,refactoring suggestion,14
1028,please rename this properly,spelling suggestion,27
1029,need to get it verified bcoz mandatory column s asterisk symbol will be removed in general code .,completeness suggestion,97
1030,please add space after and before .,refactoring suggestion,35
1031,correct indentation . single tabs .,refactoring suggestion,35
1033,set target to development,logistics suggestion,25
1034,this code is merge in other pr . please update on bug also and delete the branch .,logistics suggestion,82
1036, f ea d fb a f c does join cards has changes due to drilldown ?,questioning,63
1037,alignment .,refactoring suggestion,11
1039,this changes are not required please revert .,buggycode suggestion,45
1040,please correct the type root to route in the name of constant .,spelling suggestion,63
1043,remove these two lines no need . as we are using data table na .,refactoring suggestion,64
1044,this is wrong why are we using create while editing the values ?,buggycode suggestion,64
1046,what is getting modified through api gateway ? can you write the sample here,questioning,76
1047,maintain any one in result as its giving string as true or false and top line added bool .,buggycode suggestion,90
1048,correct alignment .,refactoring suggestion,19
1050,spellig mistake companies statusontop .length ,spelling suggestion,46
1051,why are the changes of other files present here ?,buggycode suggestion,49
1054,primary key has not been marked . no business key ?,buggycode suggestion,51
1055,delete commented lines,refactoring suggestion,22
1056,duplicate line of codes .,refactoring suggestion,25
1057,use constant for qps .,buggycode suggestion,22
1059,please drop the unique condition and then recreate the same .,code suggestion,61
1060,can we rename it to startlevel or currentlevel ? thislevel doesn t sound correct in context,spelling suggestion,91
1061,why have we removed the analytics app ? is it not in use anymore ?,questioning,66
1062,please do this and remove this comment .,refactoring suggestion,40
1063,cleanup please .,refactoring suggestion,16
1064,space before and after .,refactoring suggestion,24
1065,this should be merge in ri not sanity,logistics suggestion,37
1068,kandi bhai unset will never throw error if the key isn t set .,buggycode suggestion,62
1069,remove it it may not be required . if there any feedback later we can plan for it .,refactoring suggestion,83
1071,please check the stringformat class that should do it,code suggestion,53
1072, u should be capital as per camel casing notation .,spelling suggestion,51
1073,will this be ever used when we are downloading the raw data ?,buggycode suggestion,61
1075,need to have a same condition for both id and erpid ,code suggestion,52
1076,remove this,refactoring suggestion,11
1077,will this be helpful ? because i see only url being added and nothing else being done to it,buggycode suggestion,91
1078,why is it in debug mode ? and what additional info are you logging here ?,questioning,73
1079,what happens if user has added in his data .,questioning,44
1081,update the version,logistics suggestion,18
1083,correct alignment .,refactoring suggestion,19
1084,i think randomutils by apache can do the same thing that we are doing .,logical suggestion,71
1085, b dfc e b aaff please add log with the data only id s won t be sufficient . ,code suggestion,77
1086,still not addressed,buggycode suggestion,19
1087,if this function is not being used now then remove it,refactoring suggestion,53
1088,there is a bug in gstinvoicetemplate tcs amount was not geeting added to amount so we fixed it,logical suggestion,94
1089,what does means ?,buggycode suggestion,17
1090,sajal please add bug id what you have done changes .,documentation suggestion,52
1091,failure here allow it to pass ?,questioning,31
1092,null default value .,code suggestion,20
1093,use brackets even for single line if conditions .,refactoring suggestion,49
1094,remove this line,refactoring suggestion,16
1095,please give us the query . need to check the performance .,completeness suggestion,58
1096,use .stream .filter ,code suggestion,20
1097,resolve conflict .,logistics suggestion,18
1098,remove commented styles,refactoring suggestion,23
1099,remove last extra space .,refactoring suggestion,25
1101,create separate private function to return data .,refactoring suggestion,49
1102,if not being used . please remove comments .,refactoring suggestion,44
1103, const selectall setselectall usestate ,code suggestion,39
1105,once it s get it verified we will merged in releaseintegration .,completeness suggestion,64
1106,do these need to be removed ? also why not private ? ,questioning,53
1107,please get it verified and update pr we will merge once verified .,completeness suggestion,66
1108,please get it verified will merge after it s verified .,completeness suggestion,55
1109,please fetch from settings,code suggestion,26
1111,can we do it like only offers .length instead of offers .length ,code suggestion,64
1112,please correct function name getbackuppaymentcommentreason ,spelling suggestion,59
1113,what does mean ?,buggycode suggestion,16
1114,add space .,refactoring suggestion,11
1115,please do it on immediate basis,buggycode suggestion,31
1116,correct indentation .,refactoring suggestion,21
1117,remove the commented code below .,refactoring suggestion,33
1118,move function to model .,code suggestion,24
1119,i think we have some variables for black can we make use of that .,reuse suggestion,66
1120,why var dump ,buggycode suggestion,13
1121,please get it verified and update the pr will merge after verification . ,completeness suggestion,73
1122,how we have decided on vh ? this is not recommended .,buggycode suggestion,53
1123,remove invalid spaces .,refactoring suggestion,23
1124,remove this if not using,refactoring suggestion,24
1125,please fix indirect circular case . . .,buggycode suggestion,39
1126,please get it get verified will merge after that,completeness suggestion,48
1127,we can remove this ?,questioning,20
1128, e a b fe a c ad c we should add configinput here .,code suggestion,51
1130,please define all the props expecting into whenthenrelation ,code suggestion,60
1132,reformat the code .,refactoring suggestion,19
1133,please put the ticket for this change . why is the change required ? what were the fixes for this,logistics suggestion,97
1134,why are we using classregistry here ?,questioning,37
1135,remove delete funtion as we have active for soft delete .,refactoring suggestion,57
1136,please query .,completeness suggestion,14
1137,please add this logic in template,completeness suggestion,33
1138, temp please use proper names,spelling suggestion,29
1140,is this every time asset id only .,questioning,34
1141,please use constantc,buggycode suggestion,20
1142,cod should be base table .,buggycode suggestion,26
1144,for indentation please use tabs .,refactoring suggestion,33
1146,space after comma do not re declare the variable .,buggycode suggestion,50
1147,correct foreignkey,buggycode suggestion,18
1148,why its removed .,questioning,17
1149,i just checked this should be hour minute and second,buggycode suggestion,52
1150,camelcase,spelling suggestion,9
1152,where is bug ticket ?,documentation suggestion,21
1153,how initializing with same variable ?,questioning,37
1154,configuration spelling ?,spelling suggestion,24
1155, this dependency not required now . we can import gql from apollo client now .,code suggestion,78
1158,correct indentation .,refactoring suggestion,21
1159,query please ? is there any index using this query .,completeness suggestion,52
1162,correct indentation use tabs,refactoring suggestion,28
1163,please get it verified will merge the same once verified .,completeness suggestion,58
1165,make it to multiple of only,code suggestion,27
1166,we should not create our own props . it should same props as textfield has,buggycode suggestion,74
1167, ffc ed dbf da ae is there any use of this empty tag ?,questioning,54
1168,removed the logs,refactoring suggestion,16
1170,also check whether we can return true as default value for add sku flag .,logical suggestion,73
1172,please add space after and before .,refactoring suggestion,35
1173,again using ?,questioning,13
1175, capture merchandising image and upload file request code are same ? ? ? ? ? ?,buggycode suggestion,78
1176,qa verified ,logistics suggestion,12
1177,reformat the code .,refactoring suggestion,19
1178,add foreign key,buggycode suggestion,15
1180,double tabs are used here . please change to single tab .,refactoring suggestion,57
1181, a c bb c ee ca f please specify the tickets ?,logistics suggestion,46
1182,change only label in if condition remove similar code added in if and else statements,refactoring suggestion,85
1183,will recommend using getcompanyid of company .php .,reuse suggestion,51
1185,merging as this is old code which is reverted .,logistics suggestion,47
1186,approving as this is just to fix the xx errors .,logistics suggestion,48
1193,does we have constant for this value and ? ? ?,buggycode suggestion,46
1194,handle check here too .,code suggestion,23
1196,i think we can simplify this to not use optional just use the list,refactoring suggestion,66
1197,can put to a constants or enum file,buggycode suggestion,35
1199,please use default prop,buggycode suggestion,23
1200,why is this removed ? and are we using it in any of our reports ? ,questioning,66
1201,can we remove the extra white spaces here ?,refactoring suggestion,43
1204,space after ,refactoring suggestion,12
1205,should it be widget added successfully ? also are you handling the failure case ?,completeness suggestion,81
1206,delete commented line please .,refactoring suggestion,30
1207,we won t need setter for this parameter dont expose it .,buggycode suggestion,56
1208,once check this function getuserinfowarehousewise for multiple users at once ,completeness suggestion,77
1209,remove console .log .,refactoring suggestion,21
1210,correct indentation .,refactoring suggestion,21
1211,use already created metod present on bizomprintreceiptactivity,reuse suggestion,62
1212, count dual declaration please avoid this .,buggycode suggestion,43
1213, evaluates to false so you can simplify your filter condition,code suggestion,61
1216,please share the generated query so that we can verify it,completeness suggestion,57
1217,please make it re runable . ,buggycode suggestion,28
1218,please correct indentation,refactoring suggestion,26
1219,we should not add font size like this we should think which typography it falls .,buggycode suggestion,81
1220,correct indentation,refactoring suggestion,19
1221,why we are showing panno in place of vat no,buggycode suggestion,43
1222,naming convention is snake case isnegative,spelling suggestion,42
1223,can we use string resource instead of hard coding string or create constant ?,buggycode suggestion,77
1224, f ea d fb a f c point down can we rename this file component as tableselectiondialog .jsx ,questioning,91
1225,why is the feedback getting stored before callback ?,questioning,52
1226,remove these two lines no need . as we are using data table na .,refactoring suggestion,64
1227,plz check,completeness suggestion,9
1228,not appropriate message,logical suggestion,23
1229,create re executable .,buggycode suggestion,22
1231,any update,completeness suggestion,10
1232,please resolve the conflicts .,logistics suggestion,30
1233,also try to use buildgenericdata function in app model genericformdata .php,code suggestion,75
1234, aaf e a d e b c d d db please rebase and force push your branch with master,logistics suggestion,76
1235,please name this component file as searchproducts .jsx ,spelling suggestion,55
1236,what about the error ?,questioning,22
1237, id image upload option id id return image returnitem .id ,code suggestion,58
1238,is it ok to send empty warehouse outlet id for discountutils ? also refactor the code .,refactoring suggestion,87
1240,please avoid redeclaration please assign the values to the response variable .,buggycode suggestion,78
1242,fix indentation . single tabe only .,refactoring suggestion,36
1243,sync prefix with class name .,spelling suggestion,29
1244,avoid dual tab .,refactoring suggestion,16
1245,see if you need to set the user input ?,code suggestion,39
1246,please add revisions from ri branch as well .,logistics suggestion,45
1248,remove commented code .,refactoring suggestion,23
1249,possible null pointer exception,buggycode suggestion,31
1250,why is this required ?,questioning,22
1251,this is not addressed either with a satisfactory reply or the required changes,buggycode suggestion,78
1252,see if you can convert this new class as kotlin class .,code suggestion,55
1253,please get it verified and update pr will merge after verification .,completeness suggestion,68
1255,remove comment,refactoring suggestion,14
1256,space after ,refactoring suggestion,12
1257,you might have to add this to the graphql exception parser if not done so,code suggestion,73
1259,i think we should remove this block,refactoring suggestion,35
1260, e a b fe a c ad c can we make function for this . and put it into that .,refactoring suggestion,73
1261,i would suggest to change the api to take the token itself,logical suggestion,58
1262,please user string literals from strings .xml instead of hard coding like this .,buggycode suggestion,80
1263,skucodeindex primary indexes is being used .,code suggestion,44
1264,use ,code suggestion,4
1266,add space before and after ,refactoring suggestion,27
1268,what is andamount .can we rename this ?,spelling suggestion,39
1269,please remove commented code,refactoring suggestion,28
1271, b dfc e b aaff was this decision taken by product team ?,questioning,57
1272,aliagnment .,refactoring suggestion,12
1273,please use tabs for spaces please fix alignment .,refactoring suggestion,49
1275,do you still need resttemplate ?,questioning,32
1276,merging as this is just addition of alerts .,logistics suggestion,44
1277,please also add which sale was deleted .,code suggestion,40
1278,get the string literal from strings .xml ,buggycode suggestion,41
1279,use constant variable please .,buggycode suggestion,30
1280,why this data is here .,questioning,23
1281,execute statment not work .,buggycode suggestion,27
1283,please fix this,buggycode suggestion,15
1285,remove last extra space .,refactoring suggestion,25
1286,verfiy this is realy required true or false . recently something got change here,completeness suggestion,80
1288,remove this need query for that .,refactoring suggestion,33
1290,use spaces for indentation,refactoring suggestion,26
1292,please convert it to kotlin class .,code suggestion,35
1293, a e a f b e d d ed e if we don t need this can we remove commented code ?,refactoring suggestion,74
1294,correct alignemnt .,refactoring suggestion,19
1295,can we keep this key in a constant file ?,buggycode suggestion,41
1296,i think this has to be verified once bcoz it s major functionality and need to cover many cases .,completeness suggestion,97
1297,we should remove this all together let us discuss with product team and handle it .,logical suggestion,83
1300,this should be and cube sku .skunit name is not null and cube sku .skunit id ,buggycode suggestion,77
1301,we can use map struct here,logical suggestion,26
1302, ,logistics suggestion,1
1303,these are the template images user select before drop down,logical suggestion,58
1304,correct indentation .,refactoring suggestion,21
1305,i mentioned this to be resolved . still not done !,completeness suggestion,50
1306,what will the joins be on ?,questioning,27
1307,indentation is wrong,refactoring suggestion,20
1308,we need logs with data in it just id s arent enough .,code suggestion,53
1309,why is this removed ?,questioning,21
1310,will fail in production . table id is different there,buggycode suggestion,53
1311,please define default value ,buggycode suggestion,28
1312,should be error,buggycode suggestion,15
1313,keep a space here just in case after desc,logical suggestion,41
1314,this should contain the actual functionality instead of convertexpression in this class .,logical suggestion,89
1315,can you please make it c country,code suggestion,32
1316,looks good to me b e e c c bb f please check it on your side once,completeness suggestion,65
1318,what does means ?,buggycode suggestion,17
1319,camelcase,spelling suggestion,9
1322,this query will break because there is no join of cod . this condition should be put line .,buggycode suggestion,91
1324,why do you need this ?,questioning,22
1325,can we delete this line ?,questioning,25
1327,duplicate code .,refactoring suggestion,16
1328,shouldn t these be independent conditions ?,questioning,43
1331,please remove this commented data .,refactoring suggestion,35
1332,if there is no area assigned check for outlet .area id ! or outlet .warehouse id .,code suggestion,82
1334,please delete the empty file sbtargetdetails changedatatype .sql,buggycode suggestion,64
1335,please share the query log .,completeness suggestion,28
1336,correct indentation,refactoring suggestion,19
1337,wait why this change ? shouldn t it be there in our release branch as well ?,logistics suggestion,76
1340,remove this box pt when we add above text .,code suggestion,43
1343,please use string literal from strings .xml ,buggycode suggestion,44
1344,please make other maps as concurrenthashmap . this was a miss from my end .,code suggestion,75
1347,please handle the indentation,refactoring suggestion,29
1348,rename this,spelling suggestion,11
1350,we had merged the same code in morning why there is a sudden change ?,logistics suggestion,69
1351,please resolve the conflicts,logistics suggestion,28
1352,create queries should be in path data schema ,logistics suggestion,45
1353,indentation,refactoring suggestion,11
1355,leading space . why ?,refactoring suggestion,21
1356,isn t isreport sectionsenum .report section sufficient ?,questioning,56
1357,please create the revisions as re runnable,buggycode suggestion,42
1360,there is not need for thsi boolean value . this is extra,code suggestion,56
1363,please revert this delete . git checkout app tmp cache models empty,buggycode suggestion,67
1364,if you want to check the duplicate you can do fetch the erpid in condition also .,code suggestion,81
1365,if and else block indentation is wrong .,refactoring suggestion,40
1366,the bug is in confirmed state still why is this pr created when bug itself is not closed ?,logistics suggestion,90
1367,can we keep this empty ? as this will create a dummy entry city name in cities table .,logical suggestion,86
1368,correct alignment .,refactoring suggestion,19
1369,console remove .,refactoring suggestion,16
1370,please get it verified and update pr for merge .,completeness suggestion,48
1371,please change array key exists to isset saves time .,code suggestion,52
1372,or we can show the message based on whether group by is selected or not,logical suggestion,71
1373,if we don t need please clean up previous implementation . let s not hack it like this .,buggycode suggestion,88
1374,please resolve conflicts .,logistics suggestion,26
1375,this will not execute its as its already exists .,buggycode suggestion,49
1376,use space after comman,refactoring suggestion,22
1377, e a b fe a c ad c can t we do it like extras .sizing .bystep ,code suggestion,62
1379,why width and height props are required can t set in classes .img styles,code suggestion,72
1380,please update once verified we can merge after verification .,completeness suggestion,61
1381,correct indentation use single tabs .,refactoring suggestion,37
1382,please remove this hardcoded url,buggycode suggestion,32
1384,resolve conflict .,logistics suggestion,18
1385, e a b fe a c ad c then should it not be stringutils .isnotempty dialcode ? dialcode ?,code suggestion,86
1386,why do you need power mock for this ?,questioning,37
1387, a c bb c ee ca f ffc ed dbf da ae did you make this change recently ? if so has this been tested ?,questioning,99
1390,is there in all companies ?,questioning,27
1391, c a c b a e e remove it for now . if required we can add it in future .,code suggestion,72
1392,please add loader until queryreturncart completes,code suggestion,49
1394,need to correct the variable name here . ,spelling suggestion,41
1395,remove active check here because erp id always unique in the system,refactoring suggestion,67
1396,this can throw an exception if filters don t have cities . please guard against the scenario,buggycode suggestion,92
1398,this can be merged with another approval as this doesn t hamper any transaction .,logistics suggestion,81
1399,do we have the use case to store delivery details with no vehicle id ?,questioning,70
1400,shouldn t this be not defined ?,questioning,31
1402,do not hardcode ! please use theme .spacing ,buggycode suggestion,44
1403,rerun for index will fail .,buggycode suggestion,27
1404,this check should come under function name .,buggycode suggestion,44
1405,remove invalid spaces .,refactoring suggestion,23
1406,why is exit being used when response has to be sent ?,buggycode suggestion,53
1407,camelcase and no setters ?,buggycode suggestion,26
1408,no extra conditions ?,questioning,21
1409,in this checking the same data keys with same variable . might be used village ids .,logical suggestion,84
1410,why is the time commented out ?,questioning,31
1411,is it for print time or invoice create time is asked . ,questioning,55
1412,please resolve conflict .,logistics suggestion,25
1413,camelcase,spelling suggestion,9
1415,why the test case is not working ? please fix those .,buggycode suggestion,53
1416, is sufficient don t need to convert to string,code suggestion,46
1417,please use spaces for and brackets . spaces after comma .,refactoring suggestion,57
1418,we can use the object mapper also if required . why are we using gson ?,logical suggestion,71
1419,indentation,refactoring suggestion,11
1421,please format code .,refactoring suggestion,20
1422,what is this comment ? if it s only for testing need to remove ? please check .,refactoring suggestion,79
1423,let us go ahead with alternative approach pr link not this one .,code suggestion,64
1426,correct indentations . for all lines below .,refactoring suggestion,44
1427,why this empty php tag ?,questioning,24
1428,please check the stringformat class that should do it,code suggestion,53
1429,shouldnt this be sending back the linked account details for each retailer warehouse combo ?,buggycode suggestion,92
1431, onfetchconfigurations tables array tableinput void ,code suggestion,52
1432,what does means ?,buggycode suggestion,17
1433,no need to create this much of style . just using box with align left should work here .,code suggestion,88
1434,space after and before ,refactoring suggestion,23
1435, tagged config for point down tagged config for check this solves i see this in many places .,code suggestion,93
1436,why this ?,questioning,10
1437,we will merge in next release as sanity going on ri branch .,logistics suggestion,60
1438, cdaaddc c d b e have you looked at this ?,questioning,42
1439, o please use proper names .,spelling suggestion,28
1440,if it s constant use const keyword .,code suggestion,36
1441,add foreign key,buggycode suggestion,15
1442,what we are trying to do there ? not recommended assigning window .location .href directly .,code suggestion,92
1443,is this the default value ?,questioning,27
1445,use the alais . some time gives sql error .,logical suggestion,43
1446,please always format the code and use for better readability,refactoring suggestion,60
1447, params ?filename params ,code suggestion,25
1450, should not be the default value,buggycode suggestion,32
1451,delete commented lines .,refactoring suggestion,24
1452,why is result true by default ?,questioning,31
1453, f e f f a a f this is not api parameters and we try to follow it everywhere,logical suggestion,76
1455,please also check if id exists else it s no point of read .,code suggestion,59
1456,for each ocm it ll make multiple db calls to company ? can we not reduce this ?,buggycode suggestion,79
1457,space after please use space after and before ,refactoring suggestion,46
1458,use sinlge tab,refactoring suggestion,14
1459,please remove the check for outletdata outlet isdistributor ,refactoring suggestion,60
1460,function move on model .,code suggestion,24
1461,change it to warehouse,code suggestion,22
1462,why it s only ?,questioning,15
1463,is syncqpsscheme name correct ?,spelling suggestion,31
1464,use !empty,code suggestion,10
1465,remove console . and make alignment .,refactoring suggestion,37
1466,why we need to hardcode this ? what are we trying to achieve here ?,buggycode suggestion,67
1467,please get it tested once for sanity and update pr will merge after testing .,completeness suggestion,77
1468,i also think that it will not for redshift related queries,logical suggestion,58
1469,avoid dual tabs,refactoring suggestion,15
1470,remove extra lines !,refactoring suggestion,20
1471,please add a new key and make the new format . removal of old format data causes a lot of problems,code suggestion,98
1472, f ea d fb a f c pics uploaded is not a right sentence please make it view uploaded image ,spelling suggestion,90
1473,will merge this only after qa approval .,logistics suggestion,40
1475,an index should show both active and inactive please consult with product team .,logical suggestion,80
1476,delete commented lines .,refactoring suggestion,24
1477,reason for coupling accessed and isstarred in the same table ?,questioning,62
1478,please recheck the id of textview . there is typo in otp .,spelling suggestion,58
1479,delete commented line,refactoring suggestion,21
1480,remove commented line .,refactoring suggestion,23
1482,please add space after and before .,refactoring suggestion,35
1483,added patch in companies .,logistics suggestion,26
