,commentText,commentClassification,length
713,there won t be any case where p .unitspercase ? if so we need to handle this .,buggycode suggestion,78
714,convert it as kotlin class .,code suggestion,28
715,why are we doing like this ? can we not add to the linkedhashset directly ?,buggycode suggestion,75
716,delete this please .,refactoring suggestion,20
717,please remove if not required,refactoring suggestion,29
718,you can use the key generator class as mentioned in previous comment,code suggestion,68
719,check if key is set then only proceed else throw error of no data found .,code suggestion,73
720,please complete error handling,buggycode suggestion,30
721,remove europa,refactoring suggestion,13
722,i think we should keep this one as private method .,code suggestion,51
723,please confirm with product team with the removal of the compulsion .,completeness suggestion,69
724,can we use a loop here instead of using set extract twice on the same dataset ?,buggycode suggestion,79
725,remove unnecessory extend of basedata,refactoring suggestion,37
726,resolve the conflicts and change the target branch to development .,logistics suggestion,67
730,reformat the code .,refactoring suggestion,19
733, aaf e a d e b c d d db please try this with classname .,code suggestion,56
734,use stringutils .isnotempty method,code suggestion,34
735,is this done ? ?,questioning,16
736,space after ! ,refactoring suggestion,14
737,please run a for loop to extract data from outlets ,code suggestion,51
738,what if position i think position start from ,questioning,45
739,safer would be instead of ,code suggestion,26
741,avoid dual tabs,refactoring suggestion,15
744,this key is required to avoid duplicate insertion,logical suggestion,49
745,is it verified ? please get it verified by creating a separate branch,completeness suggestion,69
746,this json will not work please dont use any extension such as json viewer,buggycode suggestion,73
748,please get the string literals from strings .xml ,buggycode suggestion,49
750,please initialise to array then type cast it as object ,code suggestion,55
751,indentation is wrong,refactoring suggestion,20
752,fix indentation .,refactoring suggestion,17
754,please intimate all the users who are using this api .,completeness suggestion,54
756,please format .,refactoring suggestion,15
757,why is this required ?,questioning,22
758,only the last active user will be present was this required ?,questioning,61
760,indentation .,refactoring suggestion,13
761,please check if the vat is or amount being stored .,completeness suggestion,51
762,indent using tabs,refactoring suggestion,17
763,convert indentation of the current function being changed to tabs .,refactoring suggestion,67
764,we have active column na we can check that or not .,questioning,51
765,should we have the service worker handler here ? or is it not required ?,questioning,72
766,we need to fix library issue .,buggycode suggestion,30
767,sir there are more false cases should we add proceed false there as well ? discountscontroller .php,questioning,99
768,why are we hard coding this value ?,buggycode suggestion,35
769,resolve conflict,logistics suggestion,16
770,why do you need classes ? won t root in usestyles work ?,code suggestion,56
772,why are there css changes ? the ticket doesn t mention anything,questioning,63
773,remove commented lines .,refactoring suggestion,24
774, ffc ed dbf da ae this was not there before please remove this diff,refactoring suggestion,67
775,keep type imports at the bottom of all imports,code suggestion,46
777,why key outlet in only one beat directly ?,code suggestion,42
778,please resolve the conflict .,logistics suggestion,29
779,add discription what change you have done .,documentation suggestion,43
780,this creating unnecessary margin here point down ! ,refactoring suggestion,51
781,it should be warehouseids from backend side,code suggestion,43
782,can assertnull measures too currently we support only params in configurable widget .,questioning,85
783,remove comment,refactoring suggestion,14
785,please get it verified and update the pr once verified .,completeness suggestion,56
786,correct indentation single tab needed .,refactoring suggestion,39
787, e a b fe a c ad c have to add key recursive concat list projections lindex ,code suggestion,76
788,if you are looking for px height then maxheight extras .sizing .bystep ,code suggestion,71
789,same id cannot run in loop .,buggycode suggestion,28
790,please fix indentation,refactoring suggestion,22
792,please use same consistency . space space ,refactoring suggestion,42
795,we can remove this,refactoring suggestion,18
796,please check for it s working and merge this pr .,logistics suggestion,49
797, const downloadfile filename . . . ,code suggestion,35
798,please remove exit,refactoring suggestion,18
801, ffc ed dbf da ae please rename this file as ledgers .jsx ,spelling suggestion,58
802,can we define the type here instead of keeping it raw ?,code suggestion,55
804,index userhqindex user id headquarter id add this in create table command ,code suggestion,74
806,please use brackets for single if line .,refactoring suggestion,40
807,space after ,refactoring suggestion,12
808,please get it verified we can merge once verified .,completeness suggestion,51
809,correct indentation,refactoring suggestion,19
810,you are not passing cell config here ?,questioning,38
812,done bhai merging it .,logistics suggestion,22
813,unnecessary changes !,buggycode suggestion,21
814,please get it verified and update pr .,completeness suggestion,38
815, b be b a ce a fd if you are getting the active e way bills then it is fine .,logical suggestion,77
816,why did not added single quote in valuesexploded ,buggycode suggestion,49
817,are we hardcoding this ? specific to company ?,buggycode suggestion,46
818,instead of removing this can we replace it with a blank ?,code suggestion,57
820,would recommend string builder rather then string and string concatenation in loop .,code suggestion,84
821,format the code .,refactoring suggestion,17
822,indentation is wrong please fix,refactoring suggestion,31
823,get data after fetch of payments not join .,buggycode suggestion,43
824, please create rerunable query,buggycode suggestion,30
826,there are pr please resolve it . data inline card data inline card ,logistics suggestion,67
828,please user string literals from strings .xml instead of hard coding like this .,buggycode suggestion,80
830,can we name just suggestedskus for this query ?,spelling suggestion,47
832,there is no need to create this map,buggycode suggestion,35
833,remove this commented line,refactoring suggestion,26
836, mcompanysettingsutils .getinitialpasswordreset can be made boolean also please use constants .,buggycode suggestion,95
838,rename groupby orderby appropriately and make the changes in a separate pr,spelling suggestion,74
839,please import it with top imports like after line no . default imports,code suggestion,70
840,please use the existing object mapper .,code suggestion,39
841,why is this secondary ?,questioning,23
843,space after ! ,refactoring suggestion,14
844,here we can create two queries for approval so it will reduce the space,refactoring suggestion,71
845,remove commented lines,refactoring suggestion,22
847,please get it verified and update pr .,completeness suggestion,38
848,please remove extra unnecessary line each tab uses bytes,refactoring suggestion,56
849,please change to development branch .,logistics suggestion,37
850,where is typography being used ?,questioning,32
851,in my opinion it is correct by default inventory should check dats why he assigned ,logical suggestion,83
852,camelcasing,spelling suggestion,11
853,please give us the query .,completeness suggestion,26
855,resolve conflict,logistics suggestion,16
856,remove commented lines .,refactoring suggestion,24
857,can remove the below comments,refactoring suggestion,29
858,i had told you to add a bypass in the app context filter . you dont need a if check here .,buggycode suggestion,90
860,make one loop to set what kind data you want for below its doing again . set combine .,buggycode suggestion,86
861,this much gap . . why ?,questioning,23
862,space after and before for current and following lines .,refactoring suggestion,56
863,can we delete this commented lines as they are not being used any more .,refactoring suggestion,72
865,why ?,questioning,5
866,correct the indendation,refactoring suggestion,23
867,default value should be null,code suggestion,28
868,get this flag from activity intent instead of shared pref will be less confusing .,code suggestion,82
869,reformat the code .,refactoring suggestion,19
872,please resolve the conflict .,logistics suggestion,29
874,why the span is required ?,questioning,26
875,please write a foriegn key reference to the dashboard types table,completeness suggestion,65
876,use string literals from strings .xml ,buggycode suggestion,38
877,is this apk tested seperatly ? ? ?,questioning,34
880,check the length of this output once if we get multiple sms reports,completeness suggestion,67
881,camelcase please,spelling suggestion,16
882,can you please use showtoast which is available in baseactivity ?,reuse suggestion,65
883,this might break backward compatibility . would suggest to keep it boolean ,buggycode suggestion,75
885,please update pr once verified will merge it . ,completeness suggestion,47
888,can t we use divider props in listitem to get the divider effect ? ,code suggestion,67
889,use constant for number ,buggycode suggestion,24
890,is db version updated already ? ? ?,questioning,35
891,why cant have use helper functions,buggycode suggestion,34
892, fetchpolicy cache and network ,code suggestion,31
893,use space after comma use space before and after ,refactoring suggestion,49
896,spaces after and space after and space before ,refactoring suggestion,46
898,can we give some name to ?,buggycode suggestion,26
899,convert all indentations to tabs alternative tabs and spaces used .,refactoring suggestion,67
900,can we optimize and use updateall ,logical suggestion,34
901,read the setting at the start of the function and make it user based .,code suggestion,70
902,remove if not required,refactoring suggestion,22
903,is the full stop required ?,questioning,27
905,don t we need to update the db version as a new column adding here ? please check .,buggycode suggestion,83
906, will not help in string concatenation here you have to use the . in log statements it will work,buggycode suggestion,96
907,write variable name in camelcase like skunitidsaftervisibility,spelling suggestion,62
908,please correct spelling getbackuppaymentcommentreason,spelling suggestion,53
909,use tag as hard coded string instead of using makelogtag method .,code suggestion,65
910,indentation issue please fix,refactoring suggestion,28
911,please check this pr branch was merged in other pr .,logistics suggestion,52
912,we need to preserve all old dat hard delete is not a good practise .,buggycode suggestion,68
913,what was the issue with this ?,questioning,30
914,this is moved to somewhere else ? please check once .,completeness suggestion,53
915,so the entire message with attachments is sent as a string ? not a multipart form data ?,buggycode suggestion,88
917,is this required ?,questioning,18
918,the is a comman funcation please use that .,reuse suggestion,43
919,check indentation the starting and ending level dont match .,refactoring suggestion,60
920,why delta value is hardcoded ?,buggycode suggestion,30
922,please add default values .,buggycode suggestion,27
923, f ea d fb a f c if done why we have kept input in styles ?,buggycode suggestion,59
925, abb bdc c bd a fff a cool . . then we can marge it,logistics suggestion,51
926,fields added with data are double quoted can we double quote this as well ?,code suggestion,75
927,use a fall back like the line below .,code suggestion,37
928,this will return but the function of redirect and other response type . please check .,buggycode suggestion,86
929,add correct bracket for multiplication .,buggycode suggestion,40
930,verified ticket ,logistics suggestion,16
931,all if and foreach statements indentation should be corrected .,refactoring suggestion,63
932,please be aware that this response is cached .,logical suggestion,46
933,controller gets only strings why are we using array ?,buggycode suggestion,53
934,if the sku is null or sku .status is null this will fail here itself,buggycode suggestion,68
935, f ea d fb a f c need to rename this file as usequerytables .js ,refactoring suggestion,64
936,do we need set combine twice here ?,code suggestion,35
937,please get it verified and update pr .,completeness suggestion,38
938,please user string literals from strings .xml instead of hard coding like this .,buggycode suggestion,80
939,syntax error .,buggycode suggestion,14
940,beatdetail bdbeatid index beat primary outlet primary all joins index is being used .,logical suggestion,85
941,merging this as this is just a type casting of the values to integer in pjpoutlet value .,logistics suggestion,89
942,we can use a const value here,buggycode suggestion,29
943,remove commented line,refactoring suggestion,21
944,bro please add them after back merge else code will be there but revision wouldnt be there .,logistics suggestion,92
946,wrongly committed please revert to old line . ,logistics suggestion,46
947,reformat the code .,refactoring suggestion,19
948,we will not do this !,buggycode suggestion,21
949,please move this to some utility class as this will be used by other widgets too .,code suggestion,82
950,will it help if we return non null value ?,questioning,42
951,need demo .,completeness suggestion,11
952, e a b fe a c ad c so this issue still exists ,buggycode suggestion,46
